date,close
2024-10-03,399.8
2024-10-04,403.9
2024-10-07,395.6
2024-10-08,406.0
2024-10-09,397.5
2024-10-10,386.4
2024-10-11,393.1
2024-10-15,385.5
2024-10-16,385.5
2024-10-17,394.5
2024-10-18,389.0
2024-10-21,391.1
2024-10-22,386.6
2024-10-23,385.7
2024-10-24,372.7
2024-10-25,367.0
2024-10-28,365.0
2024-10-29,356.0
2024-10-30,358.5
2024-10-31,351.1
2024-11-01,352.1
2024-11-05,365.0
2024-11-06,367.9
2024-11-07,367.3
2024-11-08,364.0
2024-11-11,346.8
2024-11-12,344.0
2024-11-13,344.0
2024-11-14,350.0
2024-11-15,348.0
2024-11-18,354.5
2024-11-19,364.3
2024-11-20,367.4
2024-11-21,356.5
2024-11-22,356.6
2024-11-25,365.0
2024-11-26,367.9
2024-11-27,367.1
2024-11-28,363.0
2024-11-29,362.2
2024-12-02,370.7
2024-12-03,375.9
2024-12-04,373.1
2024-12-05,378.4
2024-12-06,371.0
2024-12-09,367.7
2024-12-10,378.3
2024-12-11,371.4
2024-12-12,369.4
2024-12-13,372.9
2024-12-16,371.0
2024-12-17,371.0
2024-12-18,365.9
2024-12-19,367.0
2024-12-20,363.4
2024-12-23,366.2
2024-12-24,371.8
2024-12-25,369.6
2024-12-26,370.6
2024-12-27,374.5
2025-01-03,359.3
2025-01-06,354.4
2025-01-07,358.2
2025-01-08,364.7
2025-01-09,368.6
2025-01-10,376.2
2025-01-14,383.8
2025-01-15,386.5
2025-01-16,384.9
2025-01-17,375.5
2025-01-20,378.5
2025-01-21,382.1
2025-01-22,384.5
2025-01-23,382.0
2025-01-24,378.6
2025-01-27,386.2
2025-01-28,388.0
2025-01-29,388.1
2025-01-30,394.4
2025-01-31,391.0
2025-02-03,382.7
2025-02-04,374.1
2025-02-05,374.5
2025-02-06,373.7
2025-02-07,368.7
2025-02-10,368.1
2025-02-12,366.7
2025-02-13,376.6
2025-02-14,371.5
2025-02-17,374.1
2025-02-18,369.3
2025-02-19,375.0
2025-02-20,372.1
2025-02-21,368.0
2025-02-25,361.0
2025-02-26,360.0
2025-02-27,360.4
2025-02-28,362.2
2025-03-03,361.2
2025-03-04,354.0
2025-03-05,353.4
2025-03-06,349.7
2025-03-07,343.1
2025-03-10,335.0
2025-03-11,343.2
2025-03-12,337.2
2025-03-13,349.7
2025-03-14,341.5
2025-03-17,346.9
2025-03-18,343.0
2025-03-19,349.5
2025-03-21,351.0
2025-03-24,355.4
2025-03-25,355.8
2025-03-26,355.3
2025-03-27,349.2
2025-03-28,349.0
2025-03-31,344.3
2025-04-01,344.8
2025-04-02,331.3
2025-04-03,320.7
2025-04-04,294.0
